Authors,Title,Year,Link,Type,Conference Name,Country,Institution_STD,RQ1: What is the purpose?,Main Purpose,RQ2 :What methods are used?,RQ2: Categorization,RQ2:CATEGORIZATION2,Near OOD vs Far OOD?,compare with other OOD methods?,Models/Backbones,"ID",COVARIATE SHIFT,SEMANTIC SHIFT,RQ7: Metrics,RQ8: Applications,RQ9: Open-source implementations,Link to github,Are the Datasets open-source?,Link to dataset
"Park, Chunjong and Awadalla, Anas and Kohno, Tadayoshi and Patel, Shwetak",Reliable and Trustworthy Machine Learning for Health Using Dataset Shift Detection,2021,,Conference paper,NeurIPS,USA,University of Washington,existing out-of-distribution (OOD) detection techniques to health ML systems,Application/ Case Study,how dataset shift affects the reliability of machine learning models in healthcare and evaluates whether existing out-of-distribution (OOD) detection methods can improve trustworthiness in this settings,"Analysis/benchmark, Energy Based, Post hoc detection scoring",POSTHOC INFERENCE,far,yes,DenseNet-121,HAM10000,ISIC 2017,"CIFAR-10, CIFAR-100, Face Dataset","TNR@TPR95, AUROC, Detection Accuracy",Medical Image,No,-,Yes,https://iapr-tc4.org/face-datasets/  https://www.kaggle.com/datasets/johnchfr/isic-2017 
"Long, X.; Zhang, J.; Shan, S.; Chen, X.",Rethinking the Evaluation of Out-of-Distribution Detection: A Sorites Paradox,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000490082&partnerID=40&md5=6a5780cdad7608271752fe6d9dd96c46,Conference paper,NeurIPS,China,Chinese Academy of Sciences; University of Chinese Academy of Sciences,New framework with synthetic covariate images ,Dataset / benchmark introduction,"Initilly, they create a benchmark dataset using CLIP to creat subset of data depending on different degrees of shift. MSP, ODIN, MDS, GRADNORM, KNN, DICE, RANKFeat, ASH","Analysis/benchmark, Energy Based, Post hoc detection scoring",POSTHOC INFERENCE,Near,yes,ResNet-50 ,ImageNet-1K,IS-OOD,"ImageNet-21K, Synthetic IS","AUPR, AUROC, FPR95, Pearson Correlation, Sensitivity",General,Yes,https://github.com/qqwsad5/IS-OOD ,Yes,https://github.com/qqwsad5/IS-OOD 
"Zhu, F.; Zhang, X.-Y.; Cheng, Z.; Liu, C.-L.",Revisiting Confidence Estimation: Towards Reliable Failure Prediction,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179779129&doi=10.1109%2FTPAMI.2023.3342285&partnerID=40&md5=8faca0153ef06b6e8f93b4cba0cc465e,Article,IEEE Transactions on Pattern Analysis and Machine Intelligen,China,Hong Kong Institute of Science and Innovation,FMFP (Flat Minima for Failure Prediction),New method,"FMFP, which combines ideas from stochastic weight averaging (SWA) and sharpness-aware minimization (SAM) to bias training toward flatter regions, making correct predictions more stable and misclassified ones less confident",Uncertainty and Bayesian evidential methods,TRAINING,far,yes,"WideResNet, Pre-Activation ResNet-110, DenseNet, ResNet-18, ResNet-50","CIFAR-10, CIFAR-100, ImageNet-1K","CIFAR-10, CIFAR-100, ImageNet-1K","CIFAR-10, CIFAR-100, ImageNet-1K","AUROC, Area under the risk.coverage curve (aurc), normalized aurc, FPR95, aupr-success, aupr-error",General,Yes,https://github.com/Impression2805/FMFP,Yes,-
H. Kashiani; N. A. Talemi; F. Afghah,ROADS: Robust Prompt-Driven Multi-Class Anomaly Detection Under Domain Shift,2025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10944164,Conference paper,WACV,USA,Clemson University,rompt-driven framework for multi-class unified anomaly detection (MUAD) under domain shif,New architecture,"reverse distillation teacher–student setup and introduces a hierarchical class-aware prompt mechanism that injects learnable class-specific tokens into the decoder to separate semantic spaces across classes and reduce interference. roposes a domain adapter that aligns feature styles between in-distribution and OOD data using adaptive instance normalization (AdaIN) and style-consistency learning, improving robustness to distribution shifts.","""Reconstruction, generative, diffusion""",TRAINING,far,no,WideResNet-50,"MVTec-AD, VISA","MVTec-AD, VISA","MVTec-AD, VISA","AUROC, pixel-level AUROC, aREA UNDER THE pER-rEGION oVERLAP","Industrial Defect inspection, General",No,-,Yes,-
"Rashidisabet, H.; Chan, R.V.P.; Leiderman, Y.I.; Vajaranant, T.S.; Yi, D.",Robust Uncertainty-Informed Glaucoma Classification Under Data Shift,2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007859815&doi=10.1167%2Ftvst.14.6.3&partnerID=40&md5=097931d6f3b92dc43038d0b8bd0cef7c,Article,Translational Vision Science & Technology,USA,University of Illinois Chicago,uncertainty-informed “self-censorship” framework for glaucoma classification,Application/ Case Study,uncertainty estimation to perform OOD detection at both dataset level (deciding whether an entire dataset is too shifted to trust) and image level (withholding low-confidence predictions,Uncertainty and Bayesian evidential methods,POSTHOC INFERENCE,both,no,VGG-16,UIC Dataset,"RIM-ONE-DL, O-RIGA, REFUGE, LAG","GL-S Crop, Magrabi, IDRID, MESSIDOR2, Kaggle Medical Dataset","Maximum Probability, Dirichlet Uncertainity, Wassertein Distance, AUC, ID ACC",Medical Image,Yes,https://github.com/homairs/UQSelfCensorship.git,No,-
"Zhang, L.H.; Ranganath, R.",Robustness to Spurious Correlations Improves Semantic Out-of-Distribution Detection,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167985133&doi=10.1609%2Faaai.v37i12.26785&partnerID=40&md5=122e79adac3c419b3313f18b071d5608,Conference paper,AAAI,USA,New York University,new OOD detection,New method,"nuisance-aware OOD detection, which modifies training to reduce reliance on nuisances: reweighting training data to break spurious correlations between label and nuisance, improving output-based detection, and enforcing independence between learned representations and nuisances via mutual information penalties, improving feature-based detection",Domain generalization,TRAINING,both,yes,"4-layer CNN, ResNet-18","Colored MNIST, Waterbirds, CelebA","Colored MNIST, Waterbirds, CelebA","Colored MNIST, Waterbirds, CelebA",AUROC,General,Yes,https://github.com/rajesh-lab/nuisance-awareood-detection,Yes,-
"L. Boone, et al.",ROOD-MRI: Robustness of Segmentation to OOD & Corrupted MRI Data,2022,,Article,NeuroImage,Canada,University of Toronto,evaluate the robustness of deep learning segmentation models in MRI under out-of-distribution,Evaluation study,"generates controlled synthetic distribution shifts at different severity levels and provides metrics to quantify both performance and robustness across tasks like hippocampus, ventricle, and white matter hyperintensity segmentation","Analysis/benchmark, Data augmentation and synthetic-shift methods",POSTHOC INFERENCE,Near,no,"U-Net, U-Net Transformer","ADNI, Sunnybrook, UPenn TLE Atlas, CAIN, ONDRI, PPA Study, VBH Study","Noise, Blur, Downsampling",Medical Imaging Trials Network of Canada Project C6,"Dice, Hausdorf Distance (HD95)",Medical Image,Yes,https://github. com/AICONSlab/roodmri,Yes,https://github. com/AICONSlab/roodmri
"Lee, Hyoje and Park, Yeachan and Seo, Hyun and Kang, Myungjoo",Self-knowledge distillation via dropout,2023,,Article,COMPUTER VISION AND IMAGE UNDERSTANDING,Korea,Seoul National University,regularization technique,New method,"SD-Dropout, apply dropout to the final feature representation to generate two slightly different “views” of the same network, producing two output distributions that are then forced to agree using symmetric KL-divergence (forward + reverse). By distilling knowledge between these internally sampled predictions, the model learns a more robust representation ",Uncertainty and Bayesian evidential methods,TRAINING,far,no,"ResNet-18, ResNet-152, Faster R-CNN","CIFAR-100, CUB-200-2011, Stanford Dogs, ImageNet","CIFAR-C, ImageNet-C","LSUN, iSUN, DTD, SVHN","AUROC, AUPR, detection error, FPR@TPR95, Corruption Error (CE), ECE",General,No,-,Yes,-
Francesco Cappio BorlinoSilvia BucciTatiana Tommasi,Semantic Novelty Detection via Relational Reasoning,2022,https://link.springer.com/chapter/10.1007/978-3-031-19806-9_11,Conference paper,ECCV,Italy,Politecnico di Torino,ReSeND (Semantic Novelty Detection via Relational Reasoning,New architecture,"relational reasoning-based representation that directly models semantic similarity between pairs of images. redict whether two samples belong to the same class, producing an embedding space optimized for similarity measurement rather than classification. At inference time, this learned similarity function is used in a plug-and-play way by comparing test samples against class prototypes to detect whether they belong to known or unknown categories","Contrastive and representation learning, Prototype",TRAINING,far,yes,"ResNet, Vit","Textures, DomainNet, PACS, Office-Home, Office-31, STL-10, VisDA-2017","Textures, DomainNet, PACS, Office-Home, Office-31, STL-10, VisDA-2017","Textures, DomainNet, PACS, Office-Home, Office-31, STL-10, VisDA-2017","AUROC, FPR95, H-Score, known class accuracy",General,Yes,https://github.com/FrancescoCappio/ReSeND,Yes,-
"Yang, J.; Wang, H.; Feng, L.; Yan, X.; Zheng, H.; Zhang, W.; Liu, Z.",Semantically Coherent Out-of-Distribution Detection,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118433540&doi=10.1109%2FICCV48922.20210819&partnerID=40&md5=a4a0ba90cba9bfa8d29ef621e64da034,Conference paper,ICCV,"Singapore, China",Nanyang Technological University; SenseTime Research; Qing Yuan Research Institute; Shanghai Jiao Tong University; Shanghai AI Laboratory,New OOD detection benchmark  and new method OOD detection under LOW covariate shift,New method,Unsupervised Dual grouping (UDG) with unlabeled data similar Outlier Exposure,Contrastive and representation learning,TRAINING,far,yes,ResNet-18,SCOOD,SCOOD,"Texture, SVHN, TinyImageNet, LSUN, Places365","AUPR, AUROC, FPR95, CCR@FPRn",General,Yes,https://jingkang50.github.io/projects/scood,Yes,-
