Authors,Title,Year,Link,Type,Conference Name,Country,Institution_STD,RQ1: What is the purpose?,Main Purpose,RQ2 :What methods are used?,RQ2: Categorization,RQ2:CATEGORIZATION2,Near OOD vs Far OOD?,compare with other OOD methods?,Models/Backbones,"ID",COVARIATE SHIFT,SEMANTIC SHIFT,RQ7: Metrics,RQ8: Applications,RQ9: Open-source implementations,Link to github,Are the Datasets open-source?,Link to dataset
"A. Khoshbakht, E. Aptoula",Semantically Guided Gradient Matching for Open-Set Domain Generalization,2025,,Conference paper,SIU,Turkiye,Sabancı University,semantic encoder + weighted gradient matching framework,New architecture,"semantic encoder that learns continuous embeddings for classes and compute a similarity matrix over them. These semantic relationships are then integrated into a weighted gradient matching mechanism, which guides meta-learning updates so that semantically similar classes produce more consistent gradients and more balanced decision boundaries. Combined with a dual meta-learning setup and an open-set one-vs-all classification head, the model improves robustness to both domain shift and category shift","Domain generalization, unknown class handling",TRAINING,far,no,ResNet-50,PACS,PACS,PACS,"ID ACC, H-Score, Open Set Classification Rate",General,No,,Yes,-
Zhang L.; Li J.-F.; Wang W.,Semi-Supervised Domain Generalization with Known and Unknown Classes,2023,,Conference paper,NeurIPS,China,Nanjing University,Semi-Supervised Domain Generalization (SSDG),New method,"CWAEE, a method that jointly detects known vs. unknown classes in unlabeled data and leverages them differently to improve generalization, one-vs-rest classifiers with class-wise adaptive thresholds (estimated via temperature scaling and a beta mixture model) to separate known, seen-unknown, and ambiguous samples. Known and unknown samples are trained with different supervised-style objectives, while ambiguous samples are used for consistency regularization based on Fourier-based data augmentation (mixing amplitude spectra while preserving phase semantics","Domain generalization, unknown class handling",TRAINING,far,no,ResNet-18,"PACS, Office-Home, MiniDomainNet","PACS, Office-Home, MiniDomainNet","PACS, Office-Home, MiniDomainNet",AUROC,General,No,,Yes,-
M. Noguchi and S. Shirakawa,Simple Domain Generalization Methods are Strong Baselines for Open Domain Generalization,2023,,Conference paper,IJCNN ,Japan,Yokohama National University,evaluation study with simple method extensions,Evaluation study,re-evaluate several existing domain generalization methods,"Analysis/benchmark, Domain generalization",TRAINING,far,no,ResNet-18,"PACS, Office-Home, Office-31, VisDA-2017, STL-10, DomainNet","PACS, Office-Home, Office-31, VisDA-2017, STL-10, DomainNet","PACS, Office-Home, Office-31, VisDA-2017, STL-10, DomainNet","H-Score, known class accuracy",General,Yes,https://github.com/shiralab/OpenDG-Eval.,Yes,-
N. Dionelis; R. Jackson; S. A. Tsaftaris; M. Yaghoobi,SLX: Similarity Learning for X-Ray Screening and Robust Automated Disassembled Object Detection,2023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10190997,Conference paper,IJCNN ,UK,The University of Edinburgh,methodological extension of standard ResNet-based classification using contrastive + supervised multi-task learning,Method extension/modification,"improve robustness by combining contrastive similarity learning with standard cross-entropy classification in a multi-task objective, encouraging the model to pull together representations of similar objects while separating different classes.",Contrastive and representation learning,TRAINING,far,no,ResNet-152,XIL Dataset (Same Scanner),XIL Dataset (Different Scanner),CIFAR-10,"ID ACC, AUROC",Security X-ray,No,-,No,-
B. Bozorgtabar; G. Vray; D. Mahapatra; J. -P. Thiran,SOoD: Self-Supervised Out-of-Distribution Detection Under Domain Shift for Multi-Class Colorectal Cancer Tissue Types,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9607789,Conference paper,ICCVW ,Switzerland,LTS5,self-supervised clustering-based representation learning,New method,"learns representations using multi-view consistency learning, where each image is augmented into multiple views including a special style-transferred view to reduce domain bias. A clustering mechanism (prototype-based assignments using Sinkhorn normalization) enforces consistent predictions across views, producing domain-invariant features. For OoD detection, the model leverages the entropy of cluster assignments: in-distribution samples tend to have low entropy (confident, consistent cluster assignments), while OoD samples have higher entropy and are filtered out during self-training. The model is further refined using entropy minimization on high-confidence target samples and uses feature similarity at inference time to compute an OoD score","Contrastive and representation learning, Prototype",TRAINING,Near,yes,ResNet-18,"Kather-19, Kather-16","Kather-19, Kather-16","Kather-19, Kather-16","AUC, AUPR",Medical Image,Yes,https: //github.com/BehzadBozorgtabar/SOoD,Yes,-
Yongcan YuLijun ShengRan HeJian Liang,STAMP: Outlier-Aware Test-Time Adaptation with Stable Memory Replay,2025,https://link.springer.com/chapter/10.1007/978-3-031-73004-7_22,Conference paper,ECCV,China,Chinese Academy of Sciences,test-time adaptation (TTA) extended to handle outliers (open-world / OOD samples),New method,"outlier-aware test-time adaptation method designed for deployment scenarios where test data may contain both distribution shifts and unseen classes (outliers).  learns to both adapt to domain shift and reject outliers. It does this by maintaining a reliable class-balanced memory bank that stores only high-confidence, consistent samples filtered using entropy and prediction agreement, preventing noisy or outlier samples from corrupting adaptation. The method further improves adaptation using self-weighted entropy minimization, which gives higher learning weight to more confident samples, and enhances stability using sharpness-aware minimization (SAM) and a learning-rate decay strategy during test-time updates",Test-time adaptation and filtering,TTA,far,no,"ResNet-18, ResNet-50","CIFAR-10, CIFAR-100, ImageNet","CIFAR-10-C, CIFAR-100-C, ImageNet-C","SVHN, LSUN, TinyImageNet, Textures, Places365","AUC, H-Score, ID ACC",General,Yes,https://github.com/ yuyongcan/STAMP,Yes,-
H. Li; J. Shao; H. He; S. Song; J. Zhang; K. B. Letaief,Tackling Distribution Shifts in Task-Oriented Communication With Information Bottleneck,2025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10964522,Article,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,China,Hong Kong University of Science and Technology,proposes two methods,New method,"combine the Information Bottleneck (IB) principle with Invariant Risk Minimization (IRM) to learn compact, domain-invariant representations (VIFE) that focus on causal features and generalize across domain shifts without requiring test-time adaptation. To further handle semantic shifts (unknown classes), they introduce a label-dependent feature encoding (VLFE) that structures the latent space using class-conditional priors and contrastive learning, enabling effective detection of out-of-distribution data. Method trained using variational approximations.","unknown class handling, Contrastive and representation learning",TRAINING,both,yes,"DeepJSCC, DeepJSCC-VIB, DeepJSCC-IRM","Colored MNIST, Colored Object",Spurious Correlation Shift,"LSUN, ImageNet","AUROC, Top@1 ACC",General,Yes,https://github.com/hlidmhkust/VIFE,Yes,-
Adrian GaldranKatherine J. HewittNarmin Ghaffari LalehJakob N. KatherGustavo CarneiroMiguel A. González Ballester,Test Time Transform Prediction for&#xa0;Open Set Histopathological Image Recognition,2022,https://link.springer.com/chapter/10.1007/978-3-031-16434-7_26,Conference paper,MICCAI,"Spain, Germany",Universitat Pompeu Fabra; University Hospital RWTH Aachen,new method for Open Set Recognition in histopathology,New method,"train a neural network not only to classify images but also to predict which color-based data augmentation transform was applied during training. At inference, no transform is applied, and the model’s confidence in predicting a transform is used as an indicator: high confidence suggests the image belongs to known classes, while low confidence signals an unknown",Contrastive and representation learning,TRAINING,Near,no,MobileNetV2,"Kather-5K, Kather-100K","Kather-5K, Kather-100K","Kather-5K, Kather-100K","AUC, ID ACC",Medical Image,Yes,https://github.com/agaldran/t3po.,Yes,"http://doi.org/10,5281/zenodo.53169, : http://doi.org/10,5281/zenodo.1214456"
"Zhang, Q.; Feng, Q.; Zhou, J.T.; Bian, Y.; Hu, Q.; Zhang, C.",The Best of Both Worlds: On the Dilemma of Out-of-distribution Detection,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000509790&partnerID=40&md5=b1204518e745fc144aaec414fbdffb82,Conference paper,NeurIPS,China,Tianjin University,Decoupled Uncertainty Learning (DUL),New method,"Decoupled Uncertainty Learning: Bayesian perspective and explicitly decouples distributional uncertainty (DU),which is useful for detecting OOD,from overall predictive uncertainty, which is important for generalization. The method increases DU on semantic OOD samples while constraining overall entropy to remain unchanged, thereby avoiding degradation in generalization",Uncertainty and Bayesian evidential methods,POSTHOC INFERENCE,far,yes,"WideResNet-40-10, ResNet-18","CIFAR-10, CIFAR-100, ImageNet-200",Gaussian Noise,"ImageNet-RC, ImageNet-800, TinyImageNet-597, SVHN, Places365, DTD, LSUN (R/C), iSUN, iNaturalist, OpenImages, NINCO, SSB-Hard","FPR95, AUROC, AUPR, ID ACC, OOD ACC",General,Yes,https://github.com/QingyangZhang/DUL.,Yes,-
"Mariani, S.; Klomp, S.R.; Romijnders, R.; de With, P.",The Effect of Covariate Shift and Network Training on Out-of-Distribution Detection,2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184962580&doi=10,5220%2F0011725900003417&partnerID=40&md5=7094118b4f19a3cbe5ae077b9346f6f6",Conference paper,VISAPP ,Netherlands,University of Amsterdam; Eindhoven University of Technology,evaluate OOD detectors,Evaluation study,"rely on superficial feature discrepancies,training choices strongly influence OOD performance, with certain augmentations improving feature discriminability and thus detection, while others can harm it despite improving classification accuracy.",Post hoc detection scoring,POSTHOC INFERENCE,far,yes,ResNet-34,"CIFAR-10, CIFAR-100, SVHN","Resizing, Noise","SVHN, TinyImageNet, LSUN, Places365, CIFAR-100, Textures","AUROC, Detection Accuracy, Pearson Correlation, TNR@TPR95",General,Yes,https://github.com/SimonMariani/OODdetection,Yes,-
K. Oksuz; T. Joy; P. K. Dokania,Towards Building Self-Aware Object Detectors via Reliable Uncertainty Quantification and Calibration,2023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10203797,Conference paper,CVPR,UK,Five AI Ltd,unified evaluation framework,Evaluation study,"standard object detectors can be adapted into “self-aware” versions by aggregating detection-level uncertainties into image-level decisions (accept/reject), applying proper thresholding, and post-hoc calibration",Uncertainty and Bayesian evidential methods,POSTHOC INFERENCE,both,no,"Faster R-CNN, Rank & Sort R-CNN, Adaptive Training Sample Selection, Deformable DETR, ES-RCNN, NLL-RCNN","COCO, nuImages","Obj45K, Obj45K-C, BDD45K, BDD45K-C","Objects365, iNaturalist, SVHN","AUROC, ECE, iou",Object Detection,Yes,https://github.com/fiveai/saod,Yes,-
Alexey NekrasovAlexander HermansLars KuhnertBastian Leibe,UGainS: Uncertainty Guided Anomaly Instance Segmentation,2024,https://link.springer.com/chapter/10.1007/978-3-031-54605-1_4,Conference paper,DAGM GCPR ,Germany,RWTH Aachen University,combining existing components (Mask2Former + SAM + RbA),New architecture,"out-of-distribution segmentation approach (RbA with Mask2Former) to generate uncertainty maps highlighting regions not explained by known classes. From these regions, it samples representative points (via farthest point sampling) and feeds them as prompts into the Segment Anything Model (SAM) to obtain instance-level masks of anomalous objects.",Uncertainty and Bayesian evidential methods,HYBRID METHODS,far,yes,"Mask2Former, Segment Anything Model (SAM)",Cityscapes,"Fishyscapes, LostAndFound, RoadAnomaly","Fishyscapes, LostAndFound, RoadAnomaly","FPR95, Average Precision",Autonomous Driving,Yes,https://github.com/kumuji/ugains,Yes,-
"Wang, Pai-Xuan and Liu, Chien-Hung and You, Shingchern D.",Uncertainty Quantification Based on Block Masking of Test Images,2025,,Article,Information,Taiwan,National Taipei University of Technology,extends the earlier Block Scaling Quality (BSQ) framework.,Method extension/modification,"Block Masking Confidence (BMC), an uncertainty quantification method for image classification that estimates prediction confidence by applying sliding random-noise masks to different regions of a test image and analyzing how stable the model’s predictions remain",Uncertainty and Bayesian evidential methods,POSTHOC INFERENCE,far,no,"ResNet-20, ResnNet-50, VGG-16","CIFAR-10, ImageNet, iNaturalist, Places365",Image Distortions,SVHN,"AUROC, AUPR",General,Yes,https://github.com/ha3usee2u/bzq-on-uncertainty-quantification,Yes,-
F. Lu; K. Zhu; W. Zhai; K. Zheng; Y. Cao,Uncertainty-Aware Optimal Transport for Semantically Coherent Out-of-Distribution Detection,2023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10204549,Conference paper,CVPR,China,University of Science and Technology of China,novel uncertainty-aware framework,New method,"Pathology Image Characterization Tool with Uncertainty-aware Rapid Evaluations, PICTURE integrates multiple foundation models with Bayesian inference, deep ensembles, and normalizing-flow–based out-of-distribution detection to explicitly quantify prediction uncertainty and improve robustness across domain shifts such as different scanners and frozen vs. FFPE tissue preparation.","Ensemble, Uncertainty and Bayesian evidential methods",HYBRID METHODS,Near,no,Swin Transformer,SCOOD,SCOOD,"Textures, SVHN, TinyImageNet, LSUN, Places365","FPR@TPR95, AUROC, AUPR IN, AUPR OUT, CCR@FPRn",General,Yes,https://github.com/LuFan31/ET-OOD,Yes,-
"Baek, E.; Park, K.; Kim, J.; Kim, H.-S.",Unexplored Faces of Robustness and Out-of-Distribution: Covariate Shifts in Environment and Sensor Domains,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202358682&doi=10.1109%2FCVPR52733.2024.02104&partnerID=40&md5=7df8b2a755658bd341105721ba4f200a,Conference paper,CVPR,Korea,Seoul National University,new dataset to evaluate robustness and ood detection,Dataset / benchmark introduction,"ViM, ReAct, ASH, MSP, ODIN",Post hoc detection scoring,POSTHOC INFERENCE,both,yes,"ResNet-50, ResNet-152, EfficientNet-B0, EfficientNet-B3, SwinV2-T, SwinV2-B, OpenCLIP-B, OpenCLIP-H, DINOv2-B, DINOv2-G",ImageNet-ES,ImageNet-ES,ImageNet-ES,"ID ACC, OOD ACC",General,Yes,https://github.com/Edw2n/ImageNet-ES.,Yes,https://github.com/Edw2n/ImageNet-ES.
Z. Gao; X. -Y. Zhang; C. -L. Liu,Unified Entropy Optimization for Open-Set Test-Time Adaptation,2024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10655660,Conference paper,CVPR,China,Chinese Academy of Sciences,novel open-set test-time adaptation,New method,"UniEnt first uses a distribution-aware filtering mechanism based on feature similarity and a Gaussian mixture model to separate covariate-shifted in-distribution samples from covariate-shifted OOD samples. applies entropy minimization to known samples to improve classification accuracy and entropy maximization to unknown samples to improve detection, combined with marginal entropy regularization to prevent collapse. UniEnt+, introduces confidence-based weighting to reduce errors from imperfect separation","Test-time adaptation and filtering, Uncertainty and Bayesian evidential methods",TTA,both,yes,"WideResNet-40-2, ResNet-50","CIFAR-10, CIFAR-100, TinyImageNet","CIFAR-10-C, CIFAR-100-C, TinyImageNet-C","SVHN, ImageNet-O, SVHN-C, ImageNet-O-C","AUROC, FPR@TPR95, Open Set Classification Rate",General,Yes,https://github.com/gaozhengqing/UniEnt,Yes,-
"Averly, R.; Chao, W.-L.",Unified Out-Of-Distribution Detection: A Model-Specific Perspective,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188289146&doi=10.1109%2FICCV51070.2023.00140&partnerID=40&md5=7734e9d33d68592ad366c3566920d104,Conference paper,ICCV,USA,The Ohio State University,unifying framework for out-of-distribution (OOD) detection considering covariate shift,Evaluation study,"MSP, MLS, Energy Score. GradNorm. vim",Post hoc detection scoring,POSTHOC INFERENCE,both,yes,"ResNet-18, ResNet-50, ResNet-152, Robust ResNet-50, CLIP ResNet-50, ViT-B/16",ImageNet-1K,"ImageNet-V2, ImageNet-S, ImageNet-R, ImageNet-A","SVHN, Textures, Places365, iNaturalist, SUN, ImageNet-O, ImageNet-21K","FPR95, TPR, F1-SCORE(Covariate examples)@TPR(ID)95, FPR(Semantic Examples)@TPR(ID)95",General ,No,-,Yes,-
"Devi, S.; Dayana, R.; Malarvezhi, P.",Unveiling the unseen: novel strategies for object detection beyond known distributions,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204150839&doi=10.1007%2Fs10044-024-01334-4&partnerID=40&md5=b8e7645c5572e95105c0bdf7134d62ec,Article,Pattern Analysis and Applications,India,SRM Institute of Science and Technology,unified OOD generalization framework for object detection (OODG_OD),New method,"combining pixel-space data augmentation (InterAug for inlier synthesis and FGSM-based adversarial perturbations for outlier simulation), object-level Maximum Mean Discrepancy (MMD) regularization to align in-distribution and OOD feature distributions, and a non-parametric K-nearest neighbors (KNN) scoring mechanism during inference for OOD detection","Data augmentation and synthetic-shift methods, Post hoc detection scoring",HYBRID METHODS,Near,no,"Faster R-CNN, Rank & Sort R-CNN, Adaptive Training Sample Selection, Deformable DETR, ES-RCNN, NLL-RCNN",BDD100K,"MS COCO, OpenImages","MS COCO, OpenImages","FPR95, AUROC, mAP ID",Object Detection,Yes,https://github.com/DeviSPhd/OODG_OD,Yes,-
"X Fang, A Easwaran, B Genest",your data is not perfect: towards cross-domain out-of-distribution detection in class-imbalanced data,2025,,Article,Expert Systems with Applications,Singapore,Nanyang Technological University,new method first closes domain gap and then semantic gap,New method,"Label prototypes to represent each class rubustly and eficiently, Prototype-guided domain alignment aligning target samples with source prototypes, adaptive threshold generation to detect OOD use sample specific entropy thresholds. To handle class imbalance use3 uncertainty aware clustering based on confidence and similarity. ","Domain generalization, Prototype",TRAINING,Near,yes,ResNet-50,"DomainNet, Office-Home, VisDA-C","DomainNet, Office-Home, VisDA-C","DomainNet, Office-Home, VisDA-C",H-Score,General,No,-,Yes,-
